"","seqOrSplice","spliceRule","spliceTaxa"
"Asplenium_NA","** SPLICE **","genus",""
"Ratibida_pinnata","** SPLICE **","genus",""
"Fragaria_vesca","seq","",""
"Rumex_britannica","** SPLICE **","genus",""
"Lactuca_serriola","seq","",""
"Trema_NA","** SPLICE **","genus",""
"Maclura_pomifera","seq","",""
"Juglans_cinerea","seq","",""
"Pinus_banksiana","seq","",""
"Alnus_NA","** SPLICE **","genus",""
"Quercus_bicolor","seq","",""
"Ruta_NA","** SPLICE **","genus",""
"Pseudotsuga_menziesii","seq","",""
"Quercus_coccinea","** SPLICE **","genus",""
"Populus_NA","** SPLICE **","genus",""
"Aesculus_glabra","seq","",""
"Morus_rubra","seq","",""
