Raw_name,Cleaned_name_from_TNRS,2007_total_plots,2018_total_plots
Rubus strigosus,Rubus idaeus subsp. strigosus,0,3
Rudbeckia hirta,Rudbeckia hirta,0,2
Rumex crispus,Rumex crispus,1,4
Rumex orbiculatus,Rumex britannica,1,0
Rumex sp.,Rumex,0,2
Sagittaria latifolia,Sagittaria latifolia,0,1
Salix amygdaloides,Salix amygdaloides,0,1
Salix interior,Salix interior,2,0
Salix nigra,Salix nigra,7,5
Salix sp.,Salix,0,1
Sambucus canadensis,Sambucus canadensis,3,4
Sanguinaria canadensis,Sanguinaria canadensis,4,6
Sanicula canadensis,Sanicula canadensis,0,1
Sanicula odorata,Sanicula odorata,0,23
Sanicula sp.,Sanicula,0,8
Schedonorus pratensis,Festuca pratensis,0,4
Schizachyrium scoparium,Schizachyrium scoparium,0,2
Scirpus atrovirens,Scirpus atrovirens,0,1
Scirpus fluviatilis,Bolboschoenus fluviatilis,0,1
Scirpus species,Scirpus,1,0
Scrophularia marilandica,Scrophularia marilandica,0,2
Scrophularia species,Scrophularia,1,0
Scutellaria galericulata,Scutellaria galericulata,0,1
Scutellaria lateriflora,Scutellaria lateriflora,1,2
Securigera varia,Securigera varia,0,9
Sedge species,Sedum,2,0
Setaria faberi,Setaria faberi,0,1
Setaria sp.,Setaria,0,1
Setaria species,Setaria,1,0
Shrub species,,2,0
Silphium integrifolium,Silphium integrifolium,1,3
Silphium laciniatum,Silphium laciniatum,0,2
Sium suave,Sium suave,1,5
Smilacina racemosa,Maianthemum racemosum,88,0
Smilacina species,,6,0
Smilax ecirrhata,Smilax ecirrhata,0,1
Smilax hispida,Smilax tamnoides,0,2
Smilax illinoensis,Smilax illinoensis,0,2
Smilax lasioneura,Smilax lasioneura,5,3
Smilax sp.,Smilax,0,2
Smilax species,Smilax,9,0
Smilax tamnoides hispida,Smilax tamnoides,1,1
Solanum americanum,Solanum americanum,0,1
Solanum carolinense,Solanum carolinense,0,2
Solanum dulcamara,Solanum dulcamara,4,2
Solanum species,Solanum,1,0
Solidago canadensis,Solidago canadensis,22,53
Solidago flexicaulis,Solidago flexicaulis,8,3
Solidago gigantea,Solidago gigantea,2,2
Solidago graminifolia,Euthamia graminifolia,4,0
Solidago nemoralis,Solidago nemoralis,0,1
Solidago rigida,Solidago rigida,0,2
Solidago sp.,Solidago,0,2
Solidago species,Solidago,9,0
Solidago tenuifolia,Euthamia caroliniana,1,0
Solidago ulmifolia,Solidago ulmifolia,16,9
Sonchus arvensis,Sonchus arvensis,0,4
Sonchus asper,Sonchus asper,1,0
Sonchus sp.,,0,1
Sonchus species,,1,0
Sorghastrum nutans,Sorghastrum nutans,2,2
Sparganium eurycarpum,Sparganium eurycarpum,0,2
Spartina pectinata,Spartina pectinata,0,1
Stachys palustris,Stachys palustris,0,2
Stachys sp.,Stachys,0,1
Stachys tenuifolia,Stachys tenuifolia,0,1
Staphylea trifolia,Staphylea trifolia,2,1
Stylophorum diphyllum,Stylophorum diphyllum,1,3
Symphyotrichum drummondii,Symphyotrichum drummondii,0,17
Symphyotrichum ericoides,Symphyotrichum ericoides,0,1
Symphyotrichum lanceolatum,Symphyotrichum lanceolatum,0,3
Symphyotrichum lateriflorum,Symphyotrichum lateriflorum,0,20
Symphyotrichum novae-angliae,Symphyotrichum novae-angliae,0,3
Symphyotrichum ontarionis,Symphyotrichum ontarionis,0,1
Symphyotrichum pilosum,Symphyotrichum pilosum,0,7
Symphyotrichum shortii,Symphyotrichum shortii,0,7
Symphyotrichum sp.,Symphyotrichum,0,11
Taraxacum officinale,Taraxacum campylodes,19,11
Teucrium canadense,Teucrium canadense,0,2
Thalictrum dasycarpum,Thalictrum dasycarpum,0,1
Thalictrum dioicum,Thalictrum dioicum,8,1
Thalictrum thalictroides,Anemonella thalictroides,0,1
Thelypteris palustris,Thelypteris confluens,0,1
Tilia americana,Tilia americana,191,97
Torilis japonica,Torilis japonica,0,3
Toxicodendron radicans,Toxicodendron radicans,0,20
Tragopogon dubius,Tragopogon dubius,1,0
Tragopogon sp.,,0,1
Tree species,Trema,1,0
Trifolium hybridum,,6,2
Trifolium pratense,,7,2
Trifolium repens,Trifolium repens,1,3
Trifolium sp.,Trifolium,0,1
Trillium grandiflorum,Trillium grandiflorum,0,1
Trillium recurvatum,Trillium recurvatum,0,9
Triosteum perfoliatum,Triosteum perfoliatum,0,1
Typha angustifolia,Typha angustifolia,1,0
Typha latifolia,Typha latifolia,1,2
Ulmus americana,Ulmus americana,171,41
Ulmus pumila,Ulmus pumila,2,3
Ulmus rubra,Ulmus rubra,94,16
Ulmus sp.,Ulmus,0,3
Ulmus species,Ulmus,19,0
Unidentified,,0,16
Unidentified forb,,2,0
Unidentified seedling,,2,0
Unidentified shrub,,1,0
Unidentified sp.,,0,2
Unidentified species,,86,0
Unidentified species-3-leaved,,1,0
Unidentified species-milky sap,,1,0
Unidentified species-single leaf,,1,0
Urtica dioica,Urtica dioica,1,2
Uvularia grandiflora,Uvularia grandiflora,0,2
Uvularia sessilifolia,Uvularia sessilifolia,1,0
Verbena urticifolia,Verbena urticifolia,0,2
Verbesina alternifolia,Verbesina alternifolia,0,3
Vernonia altissima,Vernonia gigantea,0,1
Veronica sp.,Veronica,0,1
Veronicastrum virginicum,Veronicastrum virginicum,0,1
Viburnum dentatum,Viburnum dentatum,0,3
Viburnum lentago,Viburnum lentago,1,2
Viburnum opulus,Viburnum opulus,15,6
Viburnum prunifolium,Viburnum prunifolium,3,3
Viburnum rafinesquianum,Viburnum rafinesquianum,2,0
Viburnum recognitum,Viburnum recognitum,18,0
Viburnum sp.,Viburnum,0,3
Viburnum species,Viburnum,21,0
Viburnumspecies,,1,0
Vicia sp.,Vicia,0,1
Vine species,,1,0
Viola missouriensis,Viola sororia var. missouriensis,0,2
Viola pubescens,Viola pubescens,3,4
Viola sororia,Viola sororia,0,8
Viola sp.,Viola,0,4
Viola species,Viola,23,0
Vitis riparia,Vitis vulpina,36,8
Vitis sp.,Vitis,0,2
Vitis vulpina,Vitis vulpina,0,1
Weather station,,0,1
