Plot ID Number,6-Letter Code,Species Name,Alive # of Stems,Dead # of Stems,Native / Alien,"Type
Shrub (S)
Understory Tree (UT)
Tree Sapling (TS)",,,
JJ-87,LONMAA,Lonicera maackii,2,,Alien,S,,,
JJ-93,NONE,NONE,-,-,-,-,,,
JJ-96,LONMAA,Lonicera maackii,1,,Alien,S,,,
K-107,ACENIG,Acer nigrum,1,,Native,TS,,,
K-115,RHACAT,Rhamnus cathartica,5,,Alien,UT,,,
K-116,ULMAME,Ulmus americana,1,,Native,TS,,,
K-130,ACENIG,Acer nigrum,,2,Native,TS,,,
K-137,ACENIG,Acer nigrum,1,,Native,TS,,,
KK-101,NONE,NONE,-,-,-,-,,,
LL-103,CELSCA,Celastrus scandens ,1,,Native,S,,,
LL-102,CELSCA,Celastrus scandens ,2,,Native,S,,,
LL-102,RUBALL,Rubus allegheniensis   ,2,1,Native,S,,,
LL-102,VIBOPU,Viburnum opulus ,2,5,Alien,S,,,
JJ-105,LONMAA,Lonicera maackii ,1,,Alien,S,,,
KK-109,NONE,NONE,-,-,-,-,,,
KK-119,FRAAMA,Fraxinus americana,1,,Native,TS,,,
KK-119,LONMAA,Lonicera maackii,1,,Alien,S,,,
KK-119,RIBES SP,Ribes species,1,,-,S,,,
KK-121,RUBUS SP,Rubus species,100+,,-,S,,,
KK-122,RHACAT,Rhamnus cathartica,,1,Alien,UT,,,
KK-122,ROSMUL,Rosa multiflora,,3,Alien,S,,,
KK-122,RUBALL,Rubus allegheniensis,3,,Native,S,,,
KK-122,ULMAME,Ulmus americana,4,,Native,TS,,,
KK-131,LONMAA,Lonicera maackii,2,,Alien,S,,,
KK-145,LONMAA,Lonicera maackii,2,4,Alien,S,,,
KK-145,RHACAT,Rhamnus cathartica,,1,Alien,UT,,,
KK-80,NONE,NONE,-,-,-,-,,,
KK-93,UNIDENTIFIED SP,Unidentified species,,1,-,-,,,
K-109,NONE,NONE,-,-,-,-,,,
L-111,ACENIG,Acer nigrum,1,1,Native,TS,,,
L-120,TILAME,Tilia americana,1,,Native,TS,,,
L-121,NONE,NONE,-,-,-,-,,,
L-126,NONE,NONE,-,-,-,-,,,
LL-104,OSTVIR,Ostrya virginiana ,,1,Native,UT,,,
LL-104,TILAME,Tilia americana ,,1,Native,TS,,,
LL-114,FRAAMA,Fraxinus americana ,1,,Native,TS,,,
LL-114,RHACAT,Rhamnus cathartica ,1,,Alien,UT,,,
LL-114,TILAME,Tilia americana ,1,1,Native,TS,,,
KK-116,EUOALA,Euonymus alatus ,1,,Alien,S,,,
KK-116,LONMAA,Lonicera maackii ,2,,Alien,S,,,
KK-116,TILAME,Tilia americana ,1,,Native,TS,,,
LL-119,ACENIG,Acer nigrum,1,,Native,TS,,,
LL-122,NONE,NONE,-,-,-,-,,,
LL-123,NONE,NONE,-,-,-,-,,,
LL-128,LONTAT,Lonicera tatarica,,3,Alien,S,,,
